rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1577455599351131540,,2405,,1577455599,353314035,'',,1.40193581581,1.2553280592,86.0
1577455599449791690,,2406,,1577455599,453314035,'',,1.38360977173,1.23700213432,86.0
1577455599551789730,,2407,,1577455599,553314035,'',,1.39277279377,1.2553280592,86.0
1577455599650485269,,2408,,1577455599,653314035,'',,1.40193581581,1.2553280592,86.0
1577455599748452829,,2409,,1577455599,753314035,'',,1.38360977173,1.24616515636,86.0
1577455599850783774,,2410,,1577455599,853314035,'',,1.40193581581,1.26449108124,86.0
1577455599949545794,,2411,,1577455599,953314035,'',,1.40193581581,1.2553280592,86.0
1577455600051717732,,2412,,1577455600,53314035,'',,1.39277279377,1.24616515636,86.0
1577455600149878792,,2413,,1577455600,153314035,'',,1.40193581581,1.26449108124,86.0
1577455600252861643,,2414,,1577455600,253314035,'',,1.40193581581,1.2553280592,86.0
1577455600351505259,,2415,,1577455600,353314035,'',,1.39277279377,1.2553280592,86.0
1577455600449394540,,2416,,1577455600,453314035,'',,1.41109883785,1.26449108124,86.0
1577455600551813127,,2417,,1577455600,553314035,'',,1.40193581581,1.2553280592,87.0
1577455600650286420,,2418,,1577455600,653314035,'',,1.39277279377,1.24616515636,88.0
1577455600752480055,,2419,,1577455600,753314035,'',,1.42026162148,1.27365398407,88.0
1577455600850391381,,2420,,1577455600,853314035,'',,1.40193581581,1.2553280592,88.0
1577455600949160900,,2421,,1577455600,953314035,'',,1.42026162148,1.27365398407,88.0
1577455601051743521,,2422,,1577455601,53314035,'',,1.42026162148,1.28281700611,88.0
1577455601149915979,,2423,,1577455601,153314035,'',,1.41109883785,1.26449108124,88.0
1577455601252169266,,2424,,1577455601,253314035,'',,1.42942452431,1.28281700611,88.0
1577455601351074895,,2425,,1577455601,353314035,'',,1.42942452431,1.28281700611,88.0
1577455601449125198,,2426,,1577455601,453314035,'',,1.42026162148,1.26449108124,88.0
1577455601551298680,,2427,,1577455601,552058927,'',,1.42942452431,1.28281700611,88.0
1577455601649612138,,2428,,1577455601,652058927,'',,1.42942452431,1.28281700611,88.0
1577455601752329505,,2429,,1577455601,752058927,'',,1.42026162148,1.27365398407,88.0
1577455601850078144,,2430,,1577455601,852058927,'',,1.43858766556,1.28281700611,88.0
1577455601952736071,,2431,,1577455601,952058927,'',,1.42942452431,1.28281700611,88.0
1577455602051482507,,2432,,1577455602,52058927,'',,1.42942452431,1.27365398407,88.0
1577455602152823829,,2433,,1577455602,152058927,'',,1.43858766556,1.28281700611,88.0
1577455602251228876,,2434,,1577455602,252058927,'',,1.43858766556,1.29197990894,89.0
1577455602350499760,,2435,,1577455602,352058927,'',,1.42942452431,1.27365398407,89.0
1577455602452566316,,2436,,1577455602,452058927,'',,1.44775080681,1.29197990894,89.0
1577455602551024705,,2437,,1577455602,552058927,'',,1.43858766556,1.30114305019,89.0
1577455602653232542,,2438,,1577455602,652058927,'',,1.43858766556,1.27365398407,89.0
1577455602751607523,,2439,,1577455602,752058927,'',,1.44775080681,1.29197990894,89.0
1577455602853588372,,2440,,1577455602,852058927,'',,1.44775080681,1.30114305019,89.0
1577455602952532760,,2441,,1577455602,952058927,'',,1.43858766556,1.28281700611,89.0
1577455603050861718,,2442,,1577455603,52058927,'',,1.45691370964,1.30114305019,89.0
1577455603152765538,,2443,,1577455603,152058927,'',,1.44775080681,1.31030607224,89.0
1577455603251693211,,2444,,1577455603,252058927,'',,1.43858766556,1.28281700611,89.0
1577455603353900648,,2445,,1577455603,352058927,'',,1.45691370964,1.31030607224,89.0
1577455603452241542,,2446,,1577455603,452058927,'',,1.45691370964,1.30114305019,89.0
1577455603550244993,,2447,,1577455603,552058927,'',,1.44775080681,1.28281700611,89.0
1577455603653102847,,2448,,1577455603,652058927,'',,1.44775080681,1.30114305019,89.0
1577455603751725201,,2449,,1577455603,752058927,'',,1.44775080681,1.31030607224,89.0
1577455603853344838,,2450,,1577455603,852058927,'',,1.44775080681,1.29197990894,89.0
1577455603952602311,,2451,,1577455603,952058927,'',,1.45691370964,1.30114305019,89.0
1577455604050031445,,2452,,1577455604,53780952,'',,1.43858766556,1.29197990894,89.0
1577455604152437518,,2453,,1577455604,153780952,'',,1.45691370964,1.31030607224,89.0
1577455604250538400,,2454,,1577455604,253780952,'',,1.45691370964,1.31030607224,90.0
1577455604353216413,,2455,,1577455604,353780952,'',,1.43858766556,1.30114305019,90.0
1577455604451783603,,2456,,1577455604,453780952,'',,1.46607649326,1.31946909428,90.0
1577455604553957932,,2457,,1577455604,553780952,'',,1.46607649326,1.31030607224,90.0
1577455604652321736,,2458,,1577455604,653780952,'',,1.43858766556,1.30114305019,90.0
1577455604751073161,,2459,,1577455604,753780952,'',,1.46607649326,1.31030607224,90.0
1577455604852892315,,2460,,1577455604,853780952,'',,1.46607649326,1.31946909428,90.0
1577455604951238791,,2461,,1577455604,953780952,'',,1.44775080681,1.30114305019,90.0
1577455605053647557,,2462,,1577455605,53780952,'',,1.46607649326,1.31946909428,90.0
1577455605152217633,,2463,,1577455605,153780952,'',,1.46607649326,1.31946909428,90.0
1577455605254513569,,2464,,1577455605,253780952,'',,1.44775080681,1.31030607224,90.0
1577455605353298706,,2465,,1577455605,353780952,'',,1.46607649326,1.31946909428,90.0
1577455605455470760,,2466,,1577455605,453780952,'',,1.46607649326,1.31946909428,90.0
1577455605553611431,,2467,,1577455605,553780952,'',,1.45691370964,1.31030607224,90.0
1577455605652336344,,2468,,1577455605,653780952,'',,1.46607649326,1.31946909428,90.0
1577455605754440225,,2469,,1577455605,753780952,'',,1.46607649326,1.31946909428,91.0
1577455605852766309,,2470,,1577455605,853780952,'',,1.45691370964,1.31030607224,91.0
1577455605955413743,,2471,,1577455605,953780952,'',,1.46607649326,1.31946909428,91.0
1577455606053726763,,2472,,1577455606,53780952,'',,1.46607649326,1.31946909428,91.0
1577455606152267773,,2473,,1577455606,153780952,'',,1.45691370964,1.31946909428,91.0
1577455606254628013,,2474,,1577455606,253780952,'',,1.46607649326,1.32863199711,91.0
1577455606352558760,,2475,,1577455606,353780952,'',,1.48440265656,1.32863199711,91.0
1577455606455012346,,2476,,1577455606,453780952,'',,1.45691370964,1.31946909428,91.0
1577455606553171322,,2477,,1577455606,551913108,'',,1.47523963451,1.32863199711,91.0
1577455606656050925,,2478,,1577455606,651913108,'',,1.48440265656,1.33779501915,91.0
1577455606754119207,,2479,,1577455606,751913108,'',,1.46607649326,1.31946909428,91.0
1577455606852371875,,2480,,1577455606,851913108,'',,1.47523963451,1.33779501915,91.0
1577455606955039198,,2481,,1577455606,951913108,'',,1.47523963451,1.32863199711,91.0
1577455607053095833,,2482,,1577455607,51913108,'',,1.45691370964,1.31946909428,91.0
1577455607155759939,,2483,,1577455607,151913108,'',,1.48440265656,1.33779501915,91.0
1577455607254085043,,2484,,1577455607,251913108,'',,1.46607649326,1.31946909428,91.0
1577455607352027367,,2485,,1577455607,351913108,'',,1.48440265656,1.33779501915,91.0
1577455607454455958,,2486,,1577455607,451913108,'',,1.47523963451,1.33779501915,91.0
1577455607552801299,,2487,,1577455607,551913108,'',,1.47523963451,1.31946909428,91.0
1577455607655540492,,2488,,1577455607,651913108,'',,1.48440265656,1.33779501915,91.0
1577455607753593926,,2489,,1577455607,751913108,'',,1.47523963451,1.33779501915,91.0
1577455607855649421,,2490,,1577455607,851913108,'',,1.47523963451,1.31946909428,91.0
1577455607954243695,,2491,,1577455607,951913108,'',,1.47523963451,1.32863199711,91.0
1577455608056454816,,2492,,1577455608,51913108,'',,1.48440265656,1.33779501915,91.0
1577455608155152450,,2493,,1577455608,151913108,'',,1.46607649326,1.32863199711,91.0
1577455608253711051,,2494,,1577455608,251913108,'',,1.47523963451,1.33779501915,91.0
1577455608355924582,,2495,,1577455608,351913108,'',,1.48440265656,1.33779501915,91.0
1577455608453731106,,2496,,1577455608,451913108,'',,1.46607649326,1.31946909428,91.0
1577455608556237679,,2497,,1577455608,551913108,'',,1.47523963451,1.33779501915,91.0
1577455608654640157,,2498,,1577455608,651913108,'',,1.48440265656,1.33779501915,91.0
1577455608753267150,,2499,,1577455608,751913108,'',,1.46607649326,1.31946909428,91.0
1577455608855753812,,2500,,1577455608,851913108,'',,1.47523963451,1.33779501915,91.0
1577455608953834965,,2501,,1577455608,951913108,'',,1.47523963451,1.33779501915,91.0
1577455609056748874,,2502,,1577455609,54118885,'',,1.46607649326,1.32863199711,91.0
1577455609154552183,,2503,,1577455609,154118885,'',,1.48440265656,1.33779501915,92.0
1577455609256996302,,2504,,1577455609,254118885,'',,1.47523963451,1.33779501915,92.0
1577455609355861907,,2505,,1577455609,354118885,'',,1.46607649326,1.32863199711,92.0
1577455609453864675,,2506,,1577455609,454118885,'',,1.48440265656,1.34695792198,92.0
1577455609556180312,,2507,,1577455609,554118885,'',,1.48440265656,1.34695792198,92.0
1577455609654555131,,2508,,1577455609,654118885,'',,1.46607649326,1.33779501915,92.0
1577455609756814967,,2509,,1577455609,754118885,'',,1.49356555939,1.34695792198,92.0
1577455609855344191,,2510,,1577455609,854118885,'',,1.48440265656,1.35612094402,92.0
1577455609953830084,,2511,,1577455609,954118885,'',,1.47523963451,1.33779501915,92.0
1577455610056434211,,2512,,1577455610,54118885,'',,1.49356555939,1.34695792198,92.0
1577455610154404148,,2513,,1577455610,154118885,'',,1.48440265656,1.35612094402,92.0
1577455610256783665,,2514,,1577455610,254118885,'',,1.47523963451,1.33779501915,92.0
1577455610355600414,,2515,,1577455610,354118885,'',,1.49356555939,1.34695792198,92.0
